"``os`` and ``os.path``", "``pathlib``"
"``os.path.abspath()``", "``Path.resolve()``"
"``os.getcwd()``", "``Path.cwd()``"
"``os.path.exists()``", "``Path.exists()``"
"``os.path.expanduser()``", "``Path.expanduser()`` and ``Path.home()``"
"``os.path.isdir()``", "``Path.is_dir()``"
"``os.path.isfile()``", "``Path.is_file()``"
"``os.path.islink()``", "``Path.is_symlink()``"
"``os.stat()``", "``Path.stat()``, ``Path.owner()``, ``Path.group()``"
"``os.path.isabs()``", "``PurePath.is_absolute()``"
"``os.path.join()``", "``PurePath.joinpath()``"
"``os.path.basename()``", "``PurePath.name``"
"``os.path.dirname()``", "``PurePath.parent``"
"``os.path.splitext()``", "``PurePath.suffix``"
