"Operator", "Description"
"``lambda``", "Lambda expression"
"``if``, ``elif``, ``else``", "Conditional expression"
"``and``", "Boolean AND"
"``or``", "Boolean OR"
"``not x``", "Boolean NOT"
"``in``, ``not in``, ``is``, ``is not``,

``<``, ``<=``, ``>``, ``>=``, ``!=``, ``==``", "Comparisons, including membership tests and identity tests"
"``|``", "Bitwise OR"
"``^``", "Bitwise XOR"
"``&``", "Bitwise AND"
"``<<``, ``>>``", "Shifts"
"``**``", "Exponentiation"
"``*``, ``@``, ``/``, ``//``, ``%``", "Multiplication, matrix multiplication, division, floor division, remainder"
"``+``, ``-``", "Addition and subtraction"
"``+x``, ``-x``, ``~x``", "Positive, negative, bitwise NOT"
"``await``", "Await expression"
"``x[index]``, ``x[index:index]``,

``x(arguments...)``, ``x.attribute``", "Subscription, slicing, call, attribute reference"
"``(expressions...)``, ``[expressions...]``,

	``{key: value...}``, ``{expressions...}``", "Binding or tuple display, list display, dictionary display, set display"
